sample	condition	cluster	layer	n_cells	RBFOX1	RBFOX2
SMC043	AD	1	L2/3	73	3.9997661113739014	1.4867935180664062
SMC043	AD	2	L2/3	5	3.9854931831359863	1.2986655235290527
SMC043	AD	10	L4	9	3.5518808364868164	1.4778118133544922
SMC043	AD	11	L4	6	3.8603250980377197	1.1119980812072754
SMC043	AD	18	L4	6	2.6356568336486816	1.2485644817352295
SMC043	AD	26	L5	3	3.8249263763427734	1.6201636791229248
SMC049	AD	1	L2/3	1341	3.793914318084717	1.271477222442627
SMC049	AD	2	L2/3	1338	3.8727211952209473	1.4393500089645386
SMC049	AD	27	L2/3	45	3.904214382171631	1.5093016624450684
SMC049	AD	10	L4	447	3.3026161193847656	1.4161231517791748
SMC049	AD	11	L4	484	3.6832761764526367	1.4919414520263672
SMC049	AD	18	L4	238	2.6168317794799805	1.4091217517852783
SMC049	AD	19	L5	18	3.696422815322876	1.5464142560958862
SMC049	AD	26	L5	55	3.8083412647247314	1.5536600351333618
SMC049	AD	25	L6	38	3.4977190494537354	1.3743021488189697
SMC049	AD	20	Unclassified	66	3.9719104766845703	1.2537161111831665
SMC052	Control	1	L2/3	1807	4.0215301513671875	1.4593786001205444
SMC052	Control	2	L2/3	1795	4.197577476501465	1.514847755432129
SMC052	Control	27	L2/3	89	4.230782985687256	1.4914549589157104
SMC052	Control	10	L4	361	3.6558542251586914	1.5632754564285278
SMC052	Control	11	L4	272	4.074936866760254	1.6725170612335205
SMC052	Control	18	L4	130	3.223464250564575	1.5327444076538086
SMC052	Control	19	L5	122	3.79042387008667	1.5489386320114136
SMC052	Control	26	L5	49	4.150313377380371	1.6249301433563232
SMC052	Control	25	L6	73	3.9282543659210205	1.5272003412246704
SMC052	Control	20	Unclassified	87	4.243967056274414	1.501173734664917
SMC053	Active control	1	L2/3	678	3.883927822113037	1.432552456855774
SMC053	Active control	2	L2/3	1223	4.074949264526367	1.55885910987854
SMC053	Active control	27	L2/3	48	3.9886186122894287	1.647989273071289
SMC053	Active control	10	L4	385	3.5940558910369873	1.6532328128814697
SMC053	Active control	11	L4	434	3.8113789558410645	1.7077653408050537
SMC053	Active control	18	L4	128	3.3328123092651367	1.6225614547729492
SMC053	Active control	19	L5	125	3.838580846786499	1.5274436473846436
SMC053	Active control	26	L5	86	4.105253219604492	1.7209638357162476
SMC053	Active control	25	L6	68	3.6698989868164062	1.5331315994262695
SMC053	Active control	20	Unclassified	56	3.9766955375671387	1.5534697771072388
