backbone	motif	insert_frac	ratio	insert_len	full_len
153	Nucleoplasmin_NLS	0.02053915275994865	0.12906817	16	779
153	SV40_NLS	0.00909090909090909	0.15698984	7	770
153	cMyc_NLS	0.011658031088082901	0.15782695	9	772
154	Nucleoplasmin_NLS	0.01820250284414107	0.10956047	16	879
154	SV40_NLS	0.008045977011494253	0.21673632	7	870
154	cMyc_NLS	0.010321100917431193	0.24913728	9	872
155	Nucleoplasmin_NLS	0.05263157894736842	0.13565545	16	304
155	SV40_NLS	0.023728813559322035	0.100539304	7	295
155	cMyc_NLS	0.030303030303030304	0.11225027	9	297
156	Nucleoplasmin_NLS	0.041237113402061855	0.10735833	16	388
156	SV40_NLS	0.018469656992084433	0.0639997	7	379
156	cMyc_NLS	0.023622047244094488	0.07792615	9	381
157	Nucleoplasmin_NLS	0.08290155440414508	0.2864448	16	193
157	SV40_NLS	0.03804347826086957	0.17099299	7	184
157	cMyc_NLS	0.04838709677419355	0.54800314	9	186
159	Nucleoplasmin_NLS	0.012708498808578236	0.043717008	16	1259
159	SV40_NLS	0.0056	0.019674463	7	1250
159	cMyc_NLS	0.00718849840255591	0.051326722	9	1252
160	Nucleoplasmin_NLS	0.048484848484848485	0.39579695	16	330
160	SV40_NLS	0.021806853582554516	0.2604491	7	321
160	cMyc_NLS	0.02786377708978328	0.3271739	9	323
161	Nucleoplasmin_NLS	0.02416918429003021	0.08802736	16	662
161	SV40_NLS	0.010719754977029096	0.064718656	7	653
161	cMyc_NLS	0.013740458015267175	0.10171726	9	655
162	Nucleoplasmin_NLS	0.01685985247629083	0.25199518	16	949
162	SV40_NLS	0.007446808510638298	0.07234089	7	940
162	cMyc_NLS	0.009554140127388535	0.08186378	9	942
163	Nucleoplasmin_NLS	0.04221635883905013	0.11989664	16	379
163	SV40_NLS	0.01891891891891892	0.06740686	7	370
163	cMyc_NLS	0.024193548387096774	0.121873565	9	372
164	Nucleoplasmin_NLS	0.0851063829787234	0.20285062	16	188
164	cMyc_NLS	0.049723756906077346	0.2617544	9	181
165	Nucleoplasmin_NLS	0.03455723542116631	0.16520654	16	463
165	cMyc_NLS	0.019736842105263157	0.14568178	9	456
167	Nucleoplasmin_NLS	0.04892966360856269	0.143185	16	327
167	cMyc_NLS	0.028125	0.14345814	9	320
168	Nucleoplasmin_NLS	0.015873015873015872	0.08250802	16	1008
168	cMyc_NLS	0.008991008991008992	0.10136402	9	1001
169	Nucleoplasmin_NLS	0.011412268188302425	0.10616654	16	1402
169	SV40_NLS	0.005025125628140704	0.09202328	7	1393
169	cMyc_NLS	0.0064516129032258064	0.20623836	9	1395
170	Nucleoplasmin_NLS	0.03855421686746988	0.14603229	16	415
170	cMyc_NLS	0.022058823529411766	0.3498157	9	408
171	Nucleoplasmin_NLS	0.02194787379972565	0.078254275	16	729
171	SV40_NLS	0.009722222222222222	0.05273949	7	720
